Text,Chris,Alina,Disagreed-on codes,Notes
Glenn Richie,,,,
What is your title and position? How long have you been doing this kind of work?,,,,
,,,,
"Glenn Richie, coartistic director of markum productions",,,,
"Married,",,,,
Company turns 4,,,,
"Don’t call ourselves a theater company - arts collaborative, collaborative artworks",,,,Updated codebook description for #Gesumtdenswerk
"Draw on theatrically trained artists, pulling in people who are dancers, performance artists, different kinds of artistic practices, but there’s almost always a theatrical component, being told loosely in an arc, everything is devised around narrative","#Theatre
#Narrative
#Transmedia","#theatre, #transmedia, #narrative",,
,,,,
"Style approach and process - very different from theater, putting on a play","#Process
#Theatre","#process, #Theatre",,
"Start with a script selection process, interpreting script for a stage","#Process
#Theatre", #process #theatre,,Changed #Design to #VisualDesign
"Spectrum of immersive presentations that can put on when you’re putting on a play, may surround with dramaturgy","#Spectrum
#Theatre
#Immersion","#Spectrum, #immersion, #theatre, ",,Updated codebook description for #MoreThanSpectrum
Experience reverts to that,,,,
"Want to get out of play like experience - still engaging in theater world,",#Theatre,#theatre,,
Create a team and process for each process,#Process,#Process,,
Comes down to stage manager and their process - that becomes the nexus of theater and what you’re,"#Process
#Theatre"," #process, #theatre",,
,,,,
,,,,
"Don’t start with a script, everything original",#Process,#process,,
Process in flux,#Process,#process,,
"Like to have the have the designers, makers, want them to get ahead of devicing process -",#Process,#Process,,
Some bits of narrative come of,#Narrative,#narrative,,
"Feedback loop and visual design elements of narrative creators, once","#Process
#Narrative
#VisualDesign","#design,  #process, #narrative",,
Narrative becomes really powerful force that can shape narrative,#Narrative,#narrative,,
"Trying to build a complete world, don’t want it to be defined by the performer devising aspect, build in performers that have different artistic abilities,","#gesamkunstwerk
#Process","#gesamkunstwerk, #process",,
"Ask them to do it as part of the devising - if we’re talking about narrative - start with a concept or theme, or combination of two","#Process
#Narrative","#narrative, #process",,
"Mass ravel - performed in the baltimore wharf - themes of war, things that move people, group moves to incorporate them, talk a lot in their process, or stories from their family,","#Narrative
#Culture","#narrative, #culture",,Updated #Culture in codebook
"Everything is content, everything is put on the table, everything informs the process, at some point edit and sculpt",#Process,#process,,
"Absolutely imperative to build a world and tell a story, all linked to all the senses - tell a story about something that’s happened to us - talk about what was said - also what was smelled, want to make this whole environment for people","#Sensory
#Narrative
#NarrativeGoal
#gesamkunstwerk","#narrative,#sensory, #gesamkunstwerk",,
,,,,
Process:,,,,
"Usually start with a core team, 4 or so people",#Process,#Process,,
"Starts with the seed of it, let’s take HC darling’s incredible museum, starting with idea of museum that comes to life, knew there would be puppets, and an explorer - early wonder kind of proto-museum, cabinet of curiosity, let’s have an explorer character",#Process,"#process, ",,
"Early on, 3-4 of us jamming, sources some stuff, eventually before we brought in performers and artists, explorer had found a way to travel to other planets, colonialism with science fiction objects","#Process
#Narrative","#process, #narrative",,
"Started to identify spaces to perform - physical space becomes narrative space --main exhibit, once you establish these rooms, once you decorate them, have a say in the narrative","#ExperienceSpace
#Process
#Narrative","#ExperienceSpace, #process, #narrative",,
"Peale center, had been a museum - started to lay out how you use it - of the course of it, realized could use all it.","#ExperienceSpace
#affordance
#Process","#ExperienceSpace, #affordance, #process",,
"Had some specifics of what type of things would be in the show - bring in artists to start talk about things --- ice perker character, realized the ice would be there -- then realized overworld and underworld","#Process
#Narrative
#Storytelling","#narrative, #storytelling, #process",,
"Summer prior - year before - core group of performers, - have a workshop leader, nice to get a nice foundation of ideas --then, starts to come alive in their minds- launched this idea, then met again...explained how it evolved again,",#Process,"#process,",,
"Then have some sort of intensive workshop - phrase, who these characters might be, and how they are embodied physically? Don’t want to get words up front, words are a tool",#Process,#process,,
"Do improvisational set design experiment - they created a set, found different ways to walk through a set as their character, everything is content. Things we thought was stupid",#Process,#process,,
"Very intense weekend workshop using the lacock movmenet methodology, then doing worskshops that felt a lot like grad school, moments of discoveries --->","#Process
#DiscoveryMoment",#process #DiscoveryMoment,,Added #discovery moment
Interesting that when all of you were together...we should make puppet that discover that,#Process,#process,,
"Most rely on stickl notes --as a tool - all workshops are leading to these moments, we’ve got all these moments, and we’ve got these momeents that di",#Process,#process,,
"Start placing those notes on a piece of character - see where they line up - segemnted into 4 timelines, representing each of the floors - moment with this particular object - they would put the sticky somewhere in the story,",#Process,#process,,
"When you work that way and codesigning, find these connections, these moments, it supports the structure and helps design the structure, moment of relevation, this is the moment when we’re in the same process","#Process
#DiscoveryMoment",#process #DiscoveryMoment,,
"Floors had differnet meaning, based on time - based on emotional journey, 1st floor, all these practicalities, gift shop introduction area, place for people to mingle, storied office space, do a one-on one thing, sometimes get a personalized exprience","#ExperienceSpace
#Personalization
#Emotion","#Experiencespace, #narrative, #personalization, #Emotion, #socialEngineering","disagree on what social engineering represents, ",
2nd floor - more presentational public phrase - overland and udnerland exhibit,"#Experiencespace
#PublicPrivate",#publicprivate #Experiencespace ,,"#removed social from narrative, and added #publicprivate code to social theme"
"3rd floor - started as private space that became public - never meant to be seen in the story, had all of htis more alien activitity, weirder puppets up there, culimianting moment of mastedon moments come together, big journey at the end","#ExperienceSpace
#PublicPrivate","#ExperienceSpace
#PublicPrivate",,
"4th floor, very few people got to, timeline of its own, used it as a way of progresssing through the story, levels of reality, useful to think fo spaces as representing narrative, different psychological states, reality, reflecting characters, that the characters may have had the back story,","#ExperienceSpace
#Narrative
#Storytelling
#gesamkunstwerk","#narrative, #storytelling, #ExperienceSpace, #gesamkunstwerk",,#added explanation to meaningful
"Tried to get surreal with it - fanciful lives of characters are expressed - many things were happening within the space concurrently, some characters - audience is choosing their path, never going to watch the story from beginning to end - non-linear,","#Storytelling
#Personalization
#ExperienceSpace","#Experiencespace, #personalization, #Storytelling",,
"Each character had an arc that they went through, moments of improvisation, scenes that would","#Storytelling
#Narrative","#narrative, #storytelling",,
How does your other work compare to this?,,,,
"Mesmeric relvations of poe- scored by enich pratt house in baltimore, did a remount, expanded to second floor - had a similar format, all the doors open in this hallway, even within this comparatively smaller space, still different rooms and spaces, 4 major spaces, each character had their home base, had hidden spaces",#space,"#space, ",,
